"Product title";"Handle";"Product URL";"Shopify product ID";"Rollenbreiten";"Anzahl echter Varianten";"Anzahl opc-* Varianten";"Empfehlung Google & YouTube";"Grund"
"Altessa Teppichboden 400cm 500cm";"altessa-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/altessa-teppichboden-400cm-500cm";"15983006908750";"4,00 m | 5,00 m";"14";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Amara Teppichboden 400cm 500cm";"alvano-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/alvano-teppichboden-400cm-500cm";"15982632567118";"4,00 m | 5,00 m";"18";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Alvento Teppichboden 400cm 500cm";"alvento-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/alvento-teppichboden-400cm-500cm";"15983227437390";"4,00 m | 5,00 m";"32";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Boucella Teppichboden 400cm";"boucella-teppichboden-400cm";"https://www.teppich-paradies.net/products/boucella-teppichboden-400cm";"15983212790094";"4,00 m";"5";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Callista Teppichboden 400cm 500cm";"callista-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/callista-teppichboden-400cm-500cm";"15983022735694";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Coralia Teppichboden 400cm 500cm";"coralia-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/coralia-teppichboden-400cm-500cm";"15982994063694";"4,00 m | 5,00 m";"16";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Corina Teppichboden 400cm 500cm";"corina-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/corina-teppichboden-400cm-500cm";"15982986821966";"4,00 m | 5,00 m";"16";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Kontura Teppichboden 400cm";"corvano-teppichboden";"https://www.teppich-paradies.net/products/corvano-teppichboden";"15982562115918";"4,00 m";"19";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Corvella Teppichboden 400cm 500cm";"corvella-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/corvella-teppichboden-400cm-500cm";"15983219179854";"4,00 m | 5,00 m";"24";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Fibrella Teppichboden 400cm 500cm";"fibrella-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/fibrella-teppichboden-400cm-500cm";"15983214559566";"4,00 m | 5,00 m";"10";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Kalvea Teppichboden 400cm 500cm";"kalvea-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/kalvea-teppichboden-400cm-500cm";"15982735851854";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Kerova Teppichboden 400cm 500cm";"kerova-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/kerova-teppichboden-400cm-500cm";"15982988624206";"4,00 m | 5,00 m";"20";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Lanetta Teppichboden 400cm 500cm";"lanetta-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/lanetta-teppichboden-400cm-500cm";"15983024669006";"4,00 m | 5,00 m";"14";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Lanova Teppichboden 400cm 500cm";"lanova-teppichboden-400cm-500cm";"https://www.teppich-paradies.net/products/lanova-teppichboden-400cm-500cm";"15983024046414";"4,00 m | 5,00 m";"14";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Allover Grau â€“ Vinylboden von der Rolle";"livano-allover-grau-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-allover-grau-vinylboden-von-der-rolle";"15982110507342";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Buche Schiffsboden â€“ Vinylboden von der Rolle";"livano-buche-schiffsboden-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-buche-schiffsboden-vinylboden-von-der-rolle";"15982138360142";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Eiche Bernstein â€“ Vinylboden von der Rolle";"livano-eiche-bernstein-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-eiche-bernstein-vinylboden-von-der-rolle";"15982140883278";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
"Landora Eiche Diele Beige â€“ Vinylboden von der Rolle";"livano-eiche-diele-beige-vinylboden-von-der-rolle";"https://www.teppich-paradies.net/products/livano-eiche-diele-beige-vinylboden-von-der-rolle";"15982137737550";"2,00 m | 4,00 m";"2";"0";"EXCLUDE";"Dynamisch berechneter Gesamtpreis / Grundpreis €/m² entspricht nicht dem direkt kaufbaren Mindestgesamtpreis."
