color_number,product,color_name_de,description,source
016,Fortiva,???,Farbnummer 016 - definieren aus Lieferanten-Katalog,
021,Fortiva,???,Farbnummer 021 - definieren aus Lieferanten-Katalog,
024,Fortiva/Quadra,???,Farbnummer 024 - definieren aus Lieferanten-Katalog,
03,Sentira/Vireno,???,Farbnummer 03 - definieren aus Lieferanten-Katalog,
039,Quadra,???,Farbnummer 039 - definieren aus Lieferanten-Katalog,
04,Piumera,???,Farbnummer 04 - definieren aus Lieferanten-Katalog,
05,Vireno,???,Farbnummer 05 - definieren aus Lieferanten-Katalog,
050,Quadra,???,Farbnummer 050 - definieren aus Lieferanten-Katalog,
09,Sentira,???,Farbnummer 09 - definieren aus Lieferanten-Katalog,
12,Nuvara,???,Farbnummer 12 - definieren aus Lieferanten-Katalog,
15,Nuvara,???,Farbnummer 15 - definieren aus Lieferanten-Katalog,
18,Sentira,???,Farbnummer 18 - definieren aus Lieferanten-Katalog,
20,Velory,???,Farbnummer 20 - definieren aus Lieferanten-Katalog,
24,Vireno,???,Farbnummer 24 - definieren aus Lieferanten-Katalog,
250,Zafira,???,Farbnummer 250 - definieren aus Lieferanten-Katalog,
260,Zafira,???,Farbnummer 260 - definieren aus Lieferanten-Katalog,
27,Piumera,???,Farbnummer 27 - definieren aus Lieferanten-Katalog,
30,Piumera,???,Farbnummer 30 - definieren aus Lieferanten-Katalog,
332,Velluna,???,Farbnummer 332 - definieren aus Lieferanten-Katalog,
40,Velory/Nuvara,???,Farbnummer 40 - definieren aus Lieferanten-Katalog,
400,Zafira,???,Farbnummer 400 - definieren aus Lieferanten-Katalog,
462,Velluna,???,Farbnummer 462 - definieren aus Lieferanten-Katalog,
50,Alvento/Velory,???,Farbnummer 50 - definieren aus Lieferanten-Katalog,
69,Alvento,???,Farbnummer 69 - definieren aus Lieferanten-Katalog,
72,Alvento,???,Farbnummer 72 - definieren aus Lieferanten-Katalog,
77,Serena,???,Farbnummer 77 - definieren aus Lieferanten-Katalog,
78,Practiva,???,Farbnummer 78 - definieren aus Lieferanten-Katalog,
82,Practiva,???,Farbnummer 82 - definieren aus Lieferanten-Katalog,
83,Serena,???,Farbnummer 83 - definieren aus Lieferanten-Katalog,
832,Velluna,???,Farbnummer 832 - definieren aus Lieferanten-Katalog,
90,Practiva,???,Farbnummer 90 - definieren aus Lieferanten-Katalog,
94,Kalvea,???,Farbnummer 94 - definieren aus Lieferanten-Katalog,
99,Kalvea,???,Farbnummer 99 - definieren aus Lieferanten-Katalog,
