status;jordan_kollektion;jordan_qualitaet;jordan_produktnamen;jordan_breiten;jordan_farben;mplus_produkt;mplus_kollektion;hersteller;farben_gemeinsam;farben_nur_jordan;farben_nur_mplus;punkte;offene_fragen
NO_MATCH;Format 028;Omega;Teppichboden Omega 400 cm 028 Format Object;400;19;;;;0;19;0;9;
NO_MATCH;Format 028;Maidan;Teppichboden Maidan 400 cm 028 Format Object | Teppichboden Maidan 500 cm 028 Format Object;400/500;11;;;;0;11;0;13;
NO_MATCH;Format 028;Genius Planke;Teppichboden Genius Planke 25 x 100 cm 028 Format Object;25;6;;;;0;6;0;4;
MATCH_PROBABLE;Format 028;Maron;Teppichboden Maron 400 cm 028 Format Object;400;9;MPlus Avantgarde 2029 2202-018 TR 400cm;Avantgarde 2029;ITC Co BV / Balta Group (B-Tielt);8;1;0;16;Gesamtstaerke auf einer Seite nicht angegeben (None / 7.8) | Jordan-Leistungserklaerung nennt nur W. & L. Jordan - Herstellerbeleg fuer die Jordan-Seite fehlt
NO_MATCH;Format 028;Fair Planke;Teppichboden Fair Planke 25 x 100 cm 028 Format Object;25;19;;;;0;19;0;3;
NO_MATCH;Format 028;Pathos;Teppichboden Pathos 400 cm 028 Format Object / 028 Atrium Object;400;8;;;;0;8;0;8;
NO_MATCH;Format 028;City;Teppichboden City 400 cm 028 Format Object;400;25;;;;0;25;0;11;
NO_MATCH;Format 028;City Fliese;Teppichboden City Fliese 50x50 028 Format Object;50;21;;;;0;21;0;-99;
NO_MATCH;Format 028;Livia;Teppichboden Livia 400 cm 028 Format Object;400;16;;;;0;16;0;4;
NO_MATCH;Format 028;Minero;Teppichboden Minero 400 cm 028 Format Object;400;6;;;;0;6;0;11;
NO_MATCH;Format 028;Misano;Teppichboden Misano 400 cm 028 Format Object;400;13;;;;0;13;0;7;
NO_MATCH;Format 028;Lisaro;Teppichboden Lisaro 400 cm 028 Format Object;400;0;;;;0;0;0;5;
NO_MATCH;Format 028;Lisaro Fliese;Teppichboden Lisaro Fliese 50 x 50 cm 028 Format Object;50;12;;;;0;12;0;7;
MATCH_PROBABLE;Format 028;Maidan Fliese (mind.Abgabe 5 VE);Teppichboden Maidan Fliese 50 x 50 cm 028 Format Object;50;11;MPlus Extrem Tiles 2029 2160-033 50x50cm 5,00 qm/Pck;Extrem 2029;Associated Weavers Europe NV (B-Ronse);6;5;0;15;Gesamtstaerke auf einer Seite nicht angegeben (None / 5.5) | Jordan-Leistungserklaerung nennt nur W. & L. Jordan - Herstellerbeleg fuer die Jordan-Seite fehlt
NO_MATCH;Homeline 27;Mia;Teppichboden MIA 400 cm Homeline27 | Teppichboden MIA 500 cm Homeline27;400/500;4;;;;0;4;0;6;
NO_MATCH;Format 028;Rapid;Teppichboden Rapid 400 cm 028 Format Object / 028 Atrium Object | Teppichboden Rapid 500 cm 028 Format Object / 028 Atrium Object;400/500;7;;;;0;7;0;11;
MATCH_PROBABLE;Format 028;Linux;Teppichboden Linux 400 cm 028 Format Object | Teppichboden Linux 500 cm 028 Format Object;400/500;17;MPlus Akzente 2029 2408-15 TR 400 cm;Akzente 2029;ITC Co BV / Balta Group (B-Tielt);11;6;0;18;Jordan-Leistungserklaerung nennt nur W. & L. Jordan - Herstellerbeleg fuer die Jordan-Seite fehlt
NO_MATCH;Format 028;Fair;Teppichboden Fair 400 cm 028 Format Object;400;19;;;;0;19;0;5;
